"Date","Close"
"2016-05-12","  455.67"
"2016-05-13","  455.67"
"2016-05-14","  457.57"
"2016-05-15","  454.16"
"2016-05-16","  453.78"
"2016-05-17","  454.62"
"2016-05-18","  438.71"
"2016-05-19","  442.68"
"2016-05-20","  443.19"
"2016-05-21","  439.32"
"2016-05-22","  444.15"
"2016-05-23","  445.98"
"2016-05-24","  449.60"
"2016-05-25","  453.38"
"2016-05-26","  473.46"
"2016-05-27","  530.04"
"2016-05-28","  526.23"
"2016-05-29","  533.86"
"2016-05-30","  531.39"
"2016-05-31","  536.92"
"2016-06-01","  537.97"
"2016-06-02","  569.19"
"2016-06-03","  572.73"
"2016-06-04","  574.98"
"2016-06-05","  585.54"
"2016-06-06","  576.60"
"2016-06-07","  581.64"
"2016-06-08","  574.63"
"2016-06-09","  577.47"
"2016-06-10","  606.73"
"2016-06-11","  672.78"
"2016-06-12","  704.38"
"2016-06-13","  685.56"
"2016-06-14","  694.47"
"2016-06-15","  766.31"
"2016-06-16","  748.91"
"2016-06-17","  756.23"
"2016-06-18","  763.78"
"2016-06-19","  737.23"
"2016-06-20","  666.65"
"2016-06-21","  596.12"
"2016-06-22","  623.98"
"2016-06-23","  665.30"
"2016-06-24","  665.12"
"2016-06-25","  629.37"
"2016-06-26","  655.27"
"2016-06-27","  647.00"
"2016-06-28","  639.89"
"2016-06-29","  673.34"
"2016-06-30","  676.30"
"2016-07-01","  703.70"
"2016-07-02","  658.66"
"2016-07-03","  683.66"
"2016-07-04","  670.63"
"2016-07-05","  677.33"
"2016-07-06","  640.56"
"2016-07-07","  666.52"
"2016-07-08","  650.96"
"2016-07-09","  649.36"
"2016-07-10","  647.66"
"2016-07-11","  664.55"
"2016-07-12","  654.47"
"2016-07-13","  658.08"
"2016-07-14","  663.25"
"2016-07-15","  660.77"
"2016-07-16","  679.46"
"2016-07-17","  673.11"
"2016-07-18","  672.86"
"2016-07-19","  665.68"
"2016-07-20","  665.01"
"2016-07-21","  650.62"
"2016-07-22","  655.56"
"2016-07-23","  661.28"
"2016-07-24","  654.10"
"2016-07-25","  651.78"
"2016-07-26","  654.35"
"2016-07-27","  655.03"
"2016-07-28","  656.99"
"2016-07-29","  655.05"
"2016-07-30","  624.68"
"2016-07-31","  606.27"
"2016-08-01","  547.47"
"2016-08-02","  566.36"
"2016-08-03","  578.29"
"2016-08-04","  575.04"
"2016-08-05","  587.78"
"2016-08-06","  592.69"
"2016-08-07","  591.05"
"2016-08-08","  587.80"
"2016-08-09","  592.10"
"2016-08-10","  589.12"
"2016-08-11","  587.56"
"2016-08-12","  585.59"
"2016-08-13","  570.47"
"2016-08-14","  567.24"
"2016-08-15","  577.44"
"2016-08-16","  573.22"
"2016-08-17","  574.32"
"2016-08-18","  575.63"
"2016-08-19","  581.70"
"2016-08-20","  581.31"
"2016-08-21","  586.75"
"2016-08-22","  583.41"
"2016-08-23","  580.18"
"2016-08-24","  577.76"
"2016-08-25","  579.65"
"2016-08-26","  569.95"
"2016-08-27","  573.91"
"2016-08-28","  574.11"
"2016-08-29","  577.50"
"2016-08-30","  575.47"
"2016-08-31","  572.30"
"2016-09-01","  575.54"
"2016-09-02","  598.21"
"2016-09-03","  608.63"
"2016-09-04","  606.59"
"2016-09-05","  610.44"
"2016-09-06","  614.54"
"2016-09-07","  626.32"
"2016-09-08","  622.86"
"2016-09-09","  623.51"
"2016-09-10","  606.72"
"2016-09-11","  608.24"
